,adf_p_target_level,adf_p_predictor_level,coint_p_value,is_cointegrated,adf_p_target_diff,adf_p_predictor_diff,mutual_info,optimal_lag_aic,granger_p_value_optimal_lag,pearson_lag_0,spearman_lag_0,pearson_lag_1,spearman_lag_1,score,rank
BAMLEMPVPRIVSLCRPIUSSYTW,0.0,0.6886975558485113,,False,3.1528540308330485e-20,8.972513491464961e-09,0.0335649502544366,10,0.0004635627726161,0.1121394326756793,0.0653842191169572,0.1156250672721029,0.1218604980249054,-0.2257200698788955,45
BAMLEMNSNFCRPIEY,0.0,0.6651940138053982,,False,3.1528540308330485e-20,1.8399571867920078e-29,0.0232503028089339,10,0.0019423402104447,0.1087798508967115,0.0927391510723578,0.0974132408257794,0.106818399378192,-0.22597497532548422,46
BAMLEM2RBBBLCRPIUSSYTW,0.0,0.7416061694396872,,False,3.1528540308330485e-20,4.678885660980587e-09,0.0369485256864234,10,0.0072759199085219,0.1142880203924378,0.0791779140357221,0.0799420582165231,0.0895815099850819,-0.22617406938330809,47
BAMLEMPVPRIVSLCRPIUSTRIV,0.0,0.6204044251809061,,False,3.1528540308330485e-20,5.5693218102380124e-14,0.0297853570480022,10,1.04333822540088e-05,-0.110331493754243,-0.0637390179023911,-0.1409790514073818,-0.1267295786716411,-0.22664005077763774,48
BAMLEMNSNFCRPISYTW,0.0,0.604171630907374,,False,3.1528540308330485e-20,5.954268965717949e-15,0.0161008198084844,10,0.0016253030256684,0.1137774487628516,0.0904662135272331,0.0913099253897715,0.0975596659356345,-0.22700559101956203,49
BAMLEMHYHYLCRPIUSEY,0.0,0.5754975894007431,,False,3.1528540308330485e-20,2.28160591427609e-09,0.0490564565584183,10,7.425918877488581e-05,0.0802796443334313,0.0517498412532456,0.1731398367182548,0.1935569812317312,-0.22701546380515863,50
BAMLEMNFNFLCRPIUSSYTW,0.0,0.6673753746179009,,False,3.1528540308330485e-20,1.6841522590341775e-09,0.0253364372202624,10,0.0003323342279659,0.1042611812811632,0.0716634053339603,0.1227920608492545,0.1410380293793174,-0.22747318758562152,51
BAMLEMCBPIOAS,0.0,0.0727532309998188,,False,3.1528540308330485e-20,1.574199731432946e-12,0.0119759700412007,10,7.823077934588205e-08,0.090027177883474,0.1062201025971886,0.0410228292072554,0.0574997169314766,-0.2279801092360053,52
VXGSCLS,0.0,2.4718621812484003e-05,,False,,,0.0633673204900833,4,0.0388172223180461,-0.1476229605812407,-0.0974020251859143,0.0685897670701076,0.0512298759010055,-0.22835092625248626,53
VXEEMCLS,0.0,0.0016796013364258,,False,,,0.0710195119582079,4,0.0302936926578282,-0.1065771332805178,-0.088012660198162,0.1041547527110479,0.0643598683487154,-0.2284545953236217,54
BAMLEM4BRRBLCRPISYTW,0.0,0.5842876078140423,,False,3.1528540308330485e-20,2.84799738865715e-26,0.0,10,0.0010436197394821,0.1006469247041894,0.1183242600017397,0.0581805835165766,0.0995607016595654,-0.22852032942519993,55
BAMLEMPUPUBSLCRPIUSTRIV,0.0,0.5846254874953111,,False,3.1528540308330485e-20,1.324469107380629e-07,0.0497689383346893,10,0.0010646455350463,-0.0863147854671187,-0.0309817343900733,-0.122315954189597,-0.1349412483843993,-0.22874241856136146,56
BAMLEM2RBBBLCRPIUSTRIV,0.0,0.6265574607507916,,False,3.1528540308330485e-20,1.5204532438110741e-13,0.00356952962828,10,1.0349199607939996e-05,-0.1217071329921315,-0.0813427728192476,-0.1105369638800062,-0.1082726200935923,-0.22898524317304927,57
DEXSFUS,0.0,0.4315184542663348,,False,4.406497512349184e-28,0.0,0.0250452948936947,10,0.0129094283425422,-0.1013528166996559,-0.1103158477626204,0.1635916135985013,0.1522433217796928,-0.22898784591205035,58
BAMLEMIBHGCRPITRIV,0.0,0.591820534263074,,False,3.1528540308330485e-20,2.337463708318025e-06,0.0203947894761609,10,0.0010071822378633,-0.1134919049642628,-0.0595933200313027,-0.0808545047251277,-0.0752597451045155,-0.22901539250035663,59
BAMLEMHGHGLCRPIUSTRIV,0.0,0.5775390522688162,,False,3.1528540308330485e-20,4.8072785863322997e-11,0.0102854699670782,10,0.0006297225252768,-0.1172612738430204,-0.0674981427170828,-0.0866975393998603,-0.0828335015476025,-0.22971885336068473,60
DGASNYH,0.0,0.1116965753583006,,False,1.474858958014636e-20,6.105524490085778e-30,0.0183459926180429,10,0.0072182140532597,0.0819551814380571,0.1120542541062324,-0.0580234381801366,-0.0786023245264778,-0.22981714354326632,61
BAMLEM5BCOCRPIEY,0.0,0.7342826945164218,,False,3.1528540308330485e-20,5.962525318551408e-10,0.0242691496884188,10,0.0006850832315896,0.0941300175145599,0.060834921056943,0.1318373972018028,0.1426189801554809,-0.2299237094978018,62
DHOILNYH,0.0,0.226671474515559,,False,1.474858958014636e-20,6.670012318439349e-27,0.0140363451308522,10,0.0178232152087619,0.1221400256078734,0.1218025879357312,-0.0570168249500946,-0.086084502367384,-0.22992775570297386,63
BAMLEMHYHYLCRPIUSSYTW,0.0,0.5975980986052168,,False,3.1528540308330485e-20,2.826725254996966e-09,0.0288531813285368,10,4.199784025380614e-05,0.0854705627116345,0.0573676122133758,0.1676665102211299,0.1954497762114129,-0.22996234537789312,64
DDFUELUSGULF,0.0,0.1510880735457523,,False,1.474858958014636e-20,3.0104833675355563e-30,0.0,10,0.0007498541118368,0.0879471165291526,0.1150516760791668,-0.0381211257334883,-0.0817137140546719,-0.2300000623839028,65
BAMLEMNFNFLCRPIUSTRIV,0.0,0.594942531375328,,False,3.1528540308330485e-20,6.991640211396306e-14,0.0188455933519158,10,1.4297472968441991e-05,-0.1012751346029114,-0.0597599229157156,-0.1463445475811306,-0.1352706717990308,-0.23013309456694153,66
BAMLEM5BCOCRPIOAS,0.0,0.0501253058813179,,False,3.1528540308330485e-20,1.0510920140437644e-15,0.0,10,5.535052799032198e-07,0.0845005753222944,0.1079966217838783,0.0706036508805243,0.0836687753461854,-0.23075050169149472,67
BAMLHYH0A3CMTRIV,0.0,0.6520465988825374,,False,3.1528540308330485e-20,1.4839624096429036e-07,0.0124911238284122,10,4.634796925325991e-06,0.1045977535355037,0.062570034681527,-0.3145318698414889,-0.2881936222762475,-0.23078685033138463,68
DEXSZUS,0.0,0.3457069549686382,,False,4.406497512349184e-28,0.0,0.0314169808800826,10,0.0002088098647211,0.082748328285929,0.0431937165063728,0.0982204536364292,0.1023161946145223,-0.23120592329064174,69
