,RMSE,MAE,MAPE,Directional_Accuracy,Variance_Ratio
SARIMAX,0.012315027741149941,0.008405741683042532,115.91413309093338,73.71744277821625,0.0001432703035363736
VAR,0.012301174895120417,0.008402910292409109,106.89989081522673,49.368088467614534,0.001110534902812846
XGBoost_Avg,0.012394744274552066,0.008505394459963777,148.05670291001394,53.82794001578532,0.022075628799507793
